category,type,comparative_word,is_to,sub_word,target_word
semantic,capital-common-countries,Baghdad,Iraq,London,England
semantic,capital-common-countries,Baghdad,Iraq,Madrid,Spain
semantic,capital-common-countries,Baghdad,Iraq,Moscow,Russia
semantic,capital-common-countries,Baghdad,Iraq,Oslo,Norway
semantic,capital-common-countries,Baghdad,Iraq,Ottawa,Canada
semantic,capital-common-countries,Baghdad,Iraq,Paris,France
semantic,capital-common-countries,Baghdad,Iraq,Rome,Italy
semantic,capital-common-countries,Baghdad,Iraq,Stockholm,Sweden
semantic,capital-common-countries,Baghdad,Iraq,Tehran,Iran
semantic,capital-common-countries,Baghdad,Iraq,Tokyo,Japan
semantic,capital-common-countries,Baghdad,Iraq,Athens,Greece
semantic,capital-common-countries,Bangkok,Thailand,Beijing,China
semantic,capital-common-countries,Bangkok,Thailand,Berlin,Germany
semantic,capital-common-countries,Bangkok,Thailand,Bern,Switzerland
semantic,capital-common-countries,Bangkok,Thailand,Cairo,Egypt
semantic,capital-common-countries,Bangkok,Thailand,Canberra,Australia
semantic,capital-common-countries,Bangkok,Thailand,Hanoi,Vietnam
semantic,capital-common-countries,Bangkok,Thailand,Havana,Cuba
semantic,capital-common-countries,Bangkok,Thailand,Helsinki,Finland
semantic,capital-common-countries,Bangkok,Thailand,Islamabad,Pakistan
semantic,capital-common-countries,Bangkok,Thailand,Kabul,Afghanistan
semantic,capital-common-countries,Bangkok,Thailand,London,England
semantic,capital-common-countries,Bangkok,Thailand,Madrid,Spain
semantic,capital-common-countries,Bangkok,Thailand,Moscow,Russia
semantic,capital-common-countries,Bangkok,Thailand,Oslo,Norway
semantic,capital-common-countries,Bangkok,Thailand,Ottawa,Canada
semantic,capital-common-countries,Bangkok,Thailand,Paris,France
semantic,capital-common-countries,Bangkok,Thailand,Rome,Italy
semantic,capital-common-countries,Bangkok,Thailand,Stockholm,Sweden
semantic,capital-common-countries,Bangkok,Thailand,Tehran,Iran
semantic,capital-common-countries,Bangkok,Thailand,Tokyo,Japan
semantic,capital-common-countries,Bangkok,Thailand,Athens,Greece
semantic,capital-common-countries,Bangkok,Thailand,Baghdad,Iraq
semantic,capital-common-countries,Beijing,China,Berlin,Germany
semantic,capital-common-countries,Beijing,China,Bern,Switzerland
semantic,capital-common-countries,Beijing,China,Cairo,Egypt
semantic,capital-common-countries,Beijing,China,Canberra,Australia
semantic,capital-common-countries,Beijing,China,Hanoi,Vietnam
semantic,capital-common-countries,Beijing,China,Havana,Cuba
semantic,capital-common-countries,Beijing,China,Helsinki,Finland
semantic,capital-common-countries,Beijing,China,Islamabad,Pakistan
semantic,capital-common-countries,Beijing,China,Kabul,Afghanistan
semantic,capital-common-countries,Beijing,China,London,England
semantic,capital-common-countries,Beijing,China,Madrid,Spain
semantic,capital-common-countries,Beijing,China,Moscow,Russia
semantic,capital-common-countries,Beijing,China,Oslo,Norway
semantic,capital-common-countries,Beijing,China,Ottawa,Canada
semantic,capital-common-countries,Beijing,China,Paris,France
semantic,capital-common-countries,Beijing,China,Rome,Italy
semantic,capital-common-countries,Beijing,China,Stockholm,Sweden
semantic,capital-common-countries,Beijing,China,Tehran,Iran
semantic,capital-common-countries,Beijing,China,Tokyo,Japan
semantic,capital-common-countries,Beijing,China,Athens,Greece
semantic,capital-common-countries,Beijing,China,Baghdad,Iraq
semantic,capital-common-countries,Beijing,China,Bangkok,Thailand
semantic,capital-common-countries,Berlin,Germany,Bern,Switzerland
semantic,capital-common-countries,Berlin,Germany,Cairo,Egypt
semantic,capital-common-countries,Berlin,Germany,Canberra,Australia
semantic,capital-common-countries,Berlin,Germany,Hanoi,Vietnam
semantic,capital-common-countries,Berlin,Germany,Havana,Cuba
semantic,capital-common-countries,Berlin,Germany,Helsinki,Finland
semantic,capital-common-countries,Berlin,Germany,Islamabad,Pakistan
semantic,capital-common-countries,Berlin,Germany,Kabul,Afghanistan
semantic,capital-common-countries,Berlin,Germany,London,England
semantic,capital-common-countries,Berlin,Germany,Madrid,Spain
semantic,capital-common-countries,Berlin,Germany,Moscow,Russia
semantic,capital-common-countries,Berlin,Germany,Oslo,Norway
semantic,capital-common-countries,Berlin,Germany,Ottawa,Canada
semantic,capital-common-countries,Berlin,Germany,Paris,France
semantic,capital-common-countries,Berlin,Germany,Rome,Italy
semantic,capital-common-countries,Berlin,Germany,Stockholm,Sweden
semantic,capital-common-countries,Berlin,Germany,Tehran,Iran
semantic,capital-common-countries,Berlin,Germany,Tokyo,Japan
semantic,capital-common-countries,Berlin,Germany,Athens,Greece
semantic,capital-common-countries,Berlin,Germany,Baghdad,Iraq
semantic,capital-common-countries,Berlin,Germany,Bangkok,Thailand
semantic,capital-common-countries,Berlin,Germany,Beijing,China
semantic,capital-common-countries,Bern,Switzerland,Cairo,Egypt
semantic,capital-common-countries,Bern,Switzerland,Canberra,Australia
semantic,capital-common-countries,Bern,Switzerland,Hanoi,Vietnam
semantic,capital-common-countries,Bern,Switzerland,Havana,Cuba
semantic,capital-common-countries,Bern,Switzerland,Helsinki,Finland
semantic,capital-common-countries,Bern,Switzerland,Islamabad,Pakistan
semantic,capital-common-countries,Bern,Switzerland,Kabul,Afghanistan
semantic,capital-common-countries,Bern,Switzerland,London,England
semantic,capital-common-countries,Bern,Switzerland,Madrid,Spain
semantic,capital-common-countries,Bern,Switzerland,Moscow,Russia
semantic,capital-common-countries,Bern,Switzerland,Oslo,Norway
semantic,capital-common-countries,Bern,Switzerland,Ottawa,Canada
semantic,capital-common-countries,Bern,Switzerland,Paris,France
semantic,capital-common-countries,Bern,Switzerland,Rome,Italy
semantic,capital-common-countries,Bern,Switzerland,Stockholm,Sweden
semantic,capital-common-countries,Bern,Switzerland,Tehran,Iran
semantic,capital-common-countries,Bern,Switzerland,Tokyo,Japan
semantic,capital-common-countries,Bern,Switzerland,Athens,Greece
semantic,capital-common-countries,Bern,Switzerland,Baghdad,Iraq
semantic,capital-common-countries,Bern,Switzerland,Bangkok,Thailand
semantic,capital-common-countries,Bern,Switzerland,Beijing,China
semantic,capital-common-countries,Bern,Switzerland,Berlin,Germany
semantic,capital-common-countries,Cairo,Egypt,Canberra,Australia
semantic,capital-common-countries,Cairo,Egypt,Hanoi,Vietnam
semantic,capital-common-countries,Cairo,Egypt,Havana,Cuba
semantic,capital-common-countries,Cairo,Egypt,Helsinki,Finland
semantic,capital-common-countries,Cairo,Egypt,Islamabad,Pakistan
semantic,capital-common-countries,Cairo,Egypt,Kabul,Afghanistan
semantic,capital-common-countries,Cairo,Egypt,London,England
semantic,capital-common-countries,Cairo,Egypt,Madrid,Spain
semantic,capital-common-countries,Cairo,Egypt,Moscow,Russia
semantic,capital-common-countries,Cairo,Egypt,Oslo,Norway
semantic,capital-common-countries,Cairo,Egypt,Ottawa,Canada
semantic,capital-common-countries,Cairo,Egypt,Paris,France
semantic,capital-common-countries,Cairo,Egypt,Rome,Italy
semantic,capital-common-countries,Cairo,Egypt,Stockholm,Sweden
semantic,capital-common-countries,Cairo,Egypt,Tehran,Iran
semantic,capital-common-countries,Cairo,Egypt,Tokyo,Japan
semantic,capital-common-countries,Cairo,Egypt,Athens,Greece
semantic,capital-common-countries,Cairo,Egypt,Baghdad,Iraq
semantic,capital-common-countries,Cairo,Egypt,Bangkok,Thailand
semantic,capital-common-countries,Cairo,Egypt,Beijing,China
semantic,capital-common-countries,Cairo,Egypt,Berlin,Germany
semantic,capital-common-countries,Cairo,Egypt,Bern,Switzerland
semantic,capital-common-countries,Canberra,Australia,Hanoi,Vietnam
semantic,capital-common-countries,Canberra,Australia,Havana,Cuba
semantic,capital-common-countries,Canberra,Australia,Helsinki,Finland
semantic,capital-common-countries,Canberra,Australia,Islamabad,Pakistan
semantic,capital-common-countries,Canberra,Australia,Kabul,Afghanistan
semantic,capital-common-countries,Canberra,Australia,London,England
semantic,capital-common-countries,Canberra,Australia,Madrid,Spain
semantic,capital-common-countries,Canberra,Australia,Moscow,Russia
semantic,capital-common-countries,Canberra,Australia,Oslo,Norway
semantic,capital-common-countries,Canberra,Australia,Ottawa,Canada
semantic,capital-common-countries,Canberra,Australia,Paris,France
semantic,capital-common-countries,Canberra,Australia,Rome,Italy
semantic,capital-common-countries,Canberra,Australia,Stockholm,Sweden
semantic,capital-common-countries,Canberra,Australia,Tehran,Iran
semantic,capital-common-countries,Canberra,Australia,Tokyo,Japan
semantic,capital-common-countries,Canberra,Australia,Athens,Greece
semantic,capital-common-countries,Canberra,Australia,Baghdad,Iraq
semantic,capital-common-countries,Canberra,Australia,Bangkok,Thailand
semantic,capital-common-countries,Canberra,Australia,Beijing,China
semantic,capital-common-countries,Canberra,Australia,Berlin,Germany
semantic,capital-common-countries,Canberra,Australia,Bern,Switzerland
semantic,capital-common-countries,Canberra,Australia,Cairo,Egypt
semantic,capital-common-countries,Hanoi,Vietnam,Havana,Cuba
semantic,capital-common-countries,Hanoi,Vietnam,Helsinki,Finland
semantic,capital-common-countries,Hanoi,Vietnam,Islamabad,Pakistan
semantic,capital-common-countries,Hanoi,Vietnam,Kabul,Afghanistan
semantic,capital-common-countries,Hanoi,Vietnam,London,England
semantic,capital-common-countries,Hanoi,Vietnam,Madrid,Spain
semantic,capital-common-countries,Hanoi,Vietnam,Moscow,Russia
semantic,capital-common-countries,Hanoi,Vietnam,Oslo,Norway
semantic,capital-common-countries,Hanoi,Vietnam,Ottawa,Canada
semantic,capital-common-countries,Hanoi,Vietnam,Paris,France
semantic,capital-common-countries,Hanoi,Vietnam,Rome,Italy
semantic,capital-common-countries,Hanoi,Vietnam,Stockholm,Sweden
semantic,capital-common-countries,Hanoi,Vietnam,Tehran,Iran
semantic,capital-common-countries,Hanoi,Vietnam,Tokyo,Japan
semantic,capital-common-countries,Hanoi,Vietnam,Athens,Greece
semantic,capital-common-countries,Hanoi,Vietnam,Baghdad,Iraq
semantic,capital-common-countries,Hanoi,Vietnam,Bangkok,Thailand
semantic,capital-common-countries,Hanoi,Vietnam,Beijing,China
semantic,capital-common-countries,Hanoi,Vietnam,Berlin,Germany
semantic,capital-common-countries,Hanoi,Vietnam,Bern,Switzerland
semantic,capital-common-countries,Hanoi,Vietnam,Cairo,Egypt
semantic,capital-common-countries,Hanoi,Vietnam,Canberra,Australia
semantic,capital-common-countries,Havana,Cuba,Helsinki,Finland
semantic,capital-common-countries,Havana,Cuba,Islamabad,Pakistan
semantic,capital-common-countries,Havana,Cuba,Kabul,Afghanistan
semantic,capital-common-countries,Havana,Cuba,London,England
semantic,capital-common-countries,Havana,Cuba,Madrid,Spain
semantic,capital-common-countries,Havana,Cuba,Moscow,Russia
semantic,capital-common-countries,Havana,Cuba,Oslo,Norway
semantic,capital-common-countries,Havana,Cuba,Ottawa,Canada
semantic,capital-common-countries,Havana,Cuba,Paris,France
semantic,capital-common-countries,Havana,Cuba,Rome,Italy
semantic,capital-common-countries,Havana,Cuba,Stockholm,Sweden
semantic,capital-common-countries,Havana,Cuba,Tehran,Iran
semantic,capital-common-countries,Havana,Cuba,Tokyo,Japan
semantic,capital-common-countries,Havana,Cuba,Athens,Greece
semantic,capital-common-countries,Havana,Cuba,Baghdad,Iraq
semantic,capital-common-countries,Havana,Cuba,Bangkok,Thailand
semantic,capital-common-countries,Havana,Cuba,Beijing,China
semantic,capital-common-countries,Havana,Cuba,Berlin,Germany
semantic,capital-common-countries,Havana,Cuba,Bern,Switzerland
semantic,capital-common-countries,Havana,Cuba,Cairo,Egypt
semantic,capital-common-countries,Havana,Cuba,Canberra,Australia
semantic,capital-common-countries,Havana,Cuba,Hanoi,Vietnam
semantic,capital-common-countries,Helsinki,Finland,Islamabad,Pakistan
semantic,capital-common-countries,Helsinki,Finland,Kabul,Afghanistan
semantic,capital-common-countries,Helsinki,Finland,London,England
semantic,capital-common-countries,Helsinki,Finland,Madrid,Spain
semantic,capital-common-countries,Helsinki,Finland,Moscow,Russia
semantic,capital-common-countries,Helsinki,Finland,Oslo,Norway
semantic,capital-common-countries,Helsinki,Finland,Ottawa,Canada
semantic,capital-common-countries,Helsinki,Finland,Paris,France
semantic,capital-common-countries,Helsinki,Finland,Rome,Italy
semantic,capital-common-countries,Helsinki,Finland,Stockholm,Sweden
semantic,capital-common-countries,Helsinki,Finland,Tehran,Iran
semantic,capital-common-countries,Helsinki,Finland,Tokyo,Japan
semantic,capital-common-countries,Helsinki,Finland,Athens,Greece
semantic,capital-common-countries,Helsinki,Finland,Baghdad,Iraq
semantic,capital-common-countries,Helsinki,Finland,Bangkok,Thailand
semantic,capital-common-countries,Helsinki,Finland,Beijing,China
semantic,capital-common-countries,Helsinki,Finland,Berlin,Germany
semantic,capital-common-countries,Helsinki,Finland,Bern,Switzerland
semantic,capital-common-countries,Helsinki,Finland,Cairo,Egypt
semantic,capital-common-countries,Helsinki,Finland,Canberra,Australia
semantic,capital-common-countries,Helsinki,Finland,Hanoi,Vietnam
semantic,capital-common-countries,Helsinki,Finland,Havana,Cuba
semantic,capital-common-countries,Islamabad,Pakistan,Kabul,Afghanistan
semantic,capital-common-countries,Islamabad,Pakistan,London,England
semantic,capital-common-countries,Islamabad,Pakistan,Madrid,Spain
semantic,capital-common-countries,Islamabad,Pakistan,Moscow,Russia
semantic,capital-common-countries,Islamabad,Pakistan,Oslo,Norway
semantic,capital-common-countries,Islamabad,Pakistan,Ottawa,Canada
semantic,capital-common-countries,Islamabad,Pakistan,Paris,France
semantic,capital-common-countries,Islamabad,Pakistan,Rome,Italy
semantic,capital-common-countries,Islamabad,Pakistan,Stockholm,Sweden
semantic,capital-common-countries,Islamabad,Pakistan,Tehran,Iran
semantic,capital-common-countries,Islamabad,Pakistan,Tokyo,Japan
semantic,capital-common-countries,Islamabad,Pakistan,Athens,Greece
semantic,capital-common-countries,Islamabad,Pakistan,Baghdad,Iraq
semantic,capital-common-countries,Islamabad,Pakistan,Bangkok,Thailand
semantic,capital-common-countries,Islamabad,Pakistan,Beijing,China
semantic,capital-common-countries,Islamabad,Pakistan,Berlin,Germany
semantic,capital-common-countries,Islamabad,Pakistan,Bern,Switzerland
semantic,capital-common-countries,Islamabad,Pakistan,Cairo,Egypt
semantic,capital-common-countries,Islamabad,Pakistan,Canberra,Australia
semantic,capital-common-countries,Islamabad,Pakistan,Hanoi,Vietnam
semantic,capital-common-countries,Islamabad,Pakistan,Havana,Cuba
semantic,capital-common-countries,Islamabad,Pakistan,Helsinki,Finland
semantic,capital-common-countries,Kabul,Afghanistan,London,England
semantic,capital-common-countries,Kabul,Afghanistan,Madrid,Spain
semantic,capital-common-countries,Kabul,Afghanistan,Moscow,Russia
semantic,capital-common-countries,Kabul,Afghanistan,Oslo,Norway
semantic,capital-common-countries,Kabul,Afghanistan,Ottawa,Canada
semantic,capital-common-countries,Kabul,Afghanistan,Paris,France
semantic,capital-common-countries,Kabul,Afghanistan,Rome,Italy
semantic,capital-common-countries,Kabul,Afghanistan,Stockholm,Sweden
semantic,capital-common-countries,Kabul,Afghanistan,Tehran,Iran
semantic,capital-common-countries,Kabul,Afghanistan,Tokyo,Japan
semantic,capital-common-countries,Kabul,Afghanistan,Athens,Greece
semantic,capital-common-countries,Kabul,Afghanistan,Baghdad,Iraq
semantic,capital-common-countries,Kabul,Afghanistan,Bangkok,Thailand
semantic,capital-common-countries,Kabul,Afghanistan,Beijing,China
semantic,capital-common-countries,Kabul,Afghanistan,Berlin,Germany
semantic,capital-common-countries,Kabul,Afghanistan,Bern,Switzerland
semantic,capital-common-countries,Kabul,Afghanistan,Cairo,Egypt
semantic,capital-common-countries,Kabul,Afghanistan,Canberra,Australia
semantic,capital-common-countries,Kabul,Afghanistan,Hanoi,Vietnam
semantic,capital-common-countries,Kabul,Afghanistan,Havana,Cuba
semantic,capital-common-countries,Kabul,Afghanistan,Helsinki,Finland
semantic,capital-common-countries,Kabul,Afghanistan,Islamabad,Pakistan
semantic,capital-common-countries,London,England,Madrid,Spain
semantic,capital-common-countries,London,England,Moscow,Russia
semantic,capital-common-countries,London,England,Oslo,Norway
semantic,capital-common-countries,London,England,Ottawa,Canada
semantic,capital-common-countries,London,England,Paris,France
semantic,capital-common-countries,London,England,Rome,Italy
semantic,capital-common-countries,London,England,Stockholm,Sweden
semantic,capital-common-countries,London,England,Tehran,Iran
semantic,capital-common-countries,London,England,Tokyo,Japan
semantic,capital-common-countries,London,England,Athens,Greece
semantic,capital-common-countries,London,England,Baghdad,Iraq
semantic,capital-common-countries,London,England,Bangkok,Thailand
semantic,capital-common-countries,London,England,Beijing,China
semantic,capital-common-countries,London,England,Berlin,Germany
semantic,capital-common-countries,London,England,Bern,Switzerland
semantic,capital-common-countries,London,England,Cairo,Egypt
semantic,capital-common-countries,London,England,Canberra,Australia
semantic,capital-common-countries,London,England,Hanoi,Vietnam
semantic,capital-common-countries,London,England,Havana,Cuba
semantic,capital-common-countries,London,England,Helsinki,Finland
semantic,capital-common-countries,London,England,Islamabad,Pakistan
semantic,capital-common-countries,London,England,Kabul,Afghanistan
semantic,capital-common-countries,Madrid,Spain,Moscow,Russia
semantic,capital-common-countries,Madrid,Spain,Oslo,Norway
semantic,capital-common-countries,Madrid,Spain,Ottawa,Canada
semantic,capital-common-countries,Madrid,Spain,Paris,France
semantic,capital-common-countries,Madrid,Spain,Rome,Italy
semantic,capital-common-countries,Madrid,Spain,Stockholm,Sweden
semantic,capital-common-countries,Madrid,Spain,Tehran,Iran
semantic,capital-common-countries,Madrid,Spain,Tokyo,Japan
semantic,capital-common-countries,Madrid,Spain,Athens,Greece
semantic,capital-common-countries,Madrid,Spain,Baghdad,Iraq
semantic,capital-common-countries,Madrid,Spain,Bangkok,Thailand
semantic,capital-common-countries,Madrid,Spain,Beijing,China
semantic,capital-common-countries,Madrid,Spain,Berlin,Germany
semantic,capital-common-countries,Madrid,Spain,Bern,Switzerland
semantic,capital-common-countries,Madrid,Spain,Cairo,Egypt
semantic,capital-common-countries,Madrid,Spain,Canberra,Australia
semantic,capital-common-countries,Madrid,Spain,Hanoi,Vietnam
semantic,capital-common-countries,Madrid,Spain,Havana,Cuba
semantic,capital-common-countries,Madrid,Spain,Helsinki,Finland
semantic,capital-common-countries,Madrid,Spain,Islamabad,Pakistan
semantic,capital-common-countries,Madrid,Spain,Kabul,Afghanistan
semantic,capital-common-countries,Madrid,Spain,London,England
semantic,capital-common-countries,Moscow,Russia,Oslo,Norway
semantic,capital-common-countries,Moscow,Russia,Ottawa,Canada
semantic,capital-common-countries,Moscow,Russia,Paris,France
semantic,capital-common-countries,Moscow,Russia,Rome,Italy
semantic,capital-common-countries,Moscow,Russia,Stockholm,Sweden
semantic,capital-common-countries,Moscow,Russia,Tehran,Iran
semantic,capital-common-countries,Moscow,Russia,Tokyo,Japan
semantic,capital-common-countries,Moscow,Russia,Athens,Greece
semantic,capital-common-countries,Moscow,Russia,Baghdad,Iraq
semantic,capital-common-countries,Moscow,Russia,Bangkok,Thailand
semantic,capital-common-countries,Moscow,Russia,Beijing,China
semantic,capital-common-countries,Moscow,Russia,Berlin,Germany
semantic,capital-common-countries,Moscow,Russia,Bern,Switzerland
semantic,capital-common-countries,Moscow,Russia,Cairo,Egypt
semantic,capital-common-countries,Moscow,Russia,Canberra,Australia
semantic,capital-common-countries,Moscow,Russia,Hanoi,Vietnam
semantic,capital-common-countries,Moscow,Russia,Havana,Cuba
semantic,capital-common-countries,Moscow,Russia,Helsinki,Finland
semantic,capital-common-countries,Moscow,Russia,Islamabad,Pakistan
semantic,capital-common-countries,Moscow,Russia,Kabul,Afghanistan
semantic,capital-common-countries,Moscow,Russia,London,England
semantic,capital-common-countries,Moscow,Russia,Madrid,Spain
semantic,capital-common-countries,Oslo,Norway,Ottawa,Canada
semantic,capital-common-countries,Oslo,Norway,Paris,France
semantic,capital-common-countries,Oslo,Norway,Rome,Italy
semantic,capital-common-countries,Oslo,Norway,Stockholm,Sweden
semantic,capital-common-countries,Oslo,Norway,Tehran,Iran
semantic,capital-common-countries,Oslo,Norway,Tokyo,Japan
semantic,capital-common-countries,Oslo,Norway,Athens,Greece
semantic,capital-common-countries,Oslo,Norway,Baghdad,Iraq
semantic,capital-common-countries,Oslo,Norway,Bangkok,Thailand
semantic,capital-common-countries,Oslo,Norway,Beijing,China
semantic,capital-common-countries,Oslo,Norway,Berlin,Germany
semantic,capital-common-countries,Oslo,Norway,Bern,Switzerland
semantic,capital-common-countries,Oslo,Norway,Cairo,Egypt
semantic,capital-common-countries,Oslo,Norway,Canberra,Australia
semantic,capital-common-countries,Oslo,Norway,Hanoi,Vietnam
semantic,capital-common-countries,Oslo,Norway,Havana,Cuba
semantic,capital-common-countries,Oslo,Norway,Helsinki,Finland
semantic,capital-common-countries,Oslo,Norway,Islamabad,Pakistan
semantic,capital-common-countries,Oslo,Norway,Kabul,Afghanistan
semantic,capital-common-countries,Oslo,Norway,London,England
semantic,capital-common-countries,Oslo,Norway,Madrid,Spain
semantic,capital-common-countries,Oslo,Norway,Moscow,Russia
semantic,capital-common-countries,Ottawa,Canada,Paris,France
semantic,capital-common-countries,Ottawa,Canada,Rome,Italy
semantic,capital-common-countries,Ottawa,Canada,Stockholm,Sweden
semantic,capital-common-countries,Ottawa,Canada,Tehran,Iran
semantic,capital-common-countries,Ottawa,Canada,Tokyo,Japan
semantic,capital-common-countries,Ottawa,Canada,Athens,Greece
semantic,capital-common-countries,Ottawa,Canada,Baghdad,Iraq
semantic,capital-common-countries,Ottawa,Canada,Bangkok,Thailand
semantic,capital-common-countries,Ottawa,Canada,Beijing,China
semantic,capital-common-countries,Ottawa,Canada,Berlin,Germany
semantic,capital-common-countries,Ottawa,Canada,Bern,Switzerland
semantic,capital-common-countries,Ottawa,Canada,Cairo,Egypt
semantic,capital-common-countries,Ottawa,Canada,Canberra,Australia
semantic,capital-common-countries,Ottawa,Canada,Hanoi,Vietnam
semantic,capital-common-countries,Ottawa,Canada,Havana,Cuba
semantic,capital-common-countries,Ottawa,Canada,Helsinki,Finland
semantic,capital-common-countries,Ottawa,Canada,Islamabad,Pakistan
semantic,capital-common-countries,Ottawa,Canada,Kabul,Afghanistan
semantic,capital-common-countries,Ottawa,Canada,London,England
semantic,capital-common-countries,Ottawa,Canada,Madrid,Spain
semantic,capital-common-countries,Ottawa,Canada,Moscow,Russia
semantic,capital-common-countries,Ottawa,Canada,Oslo,Norway
semantic,capital-common-countries,Paris,France,Rome,Italy
semantic,capital-common-countries,Paris,France,Stockholm,Sweden
semantic,capital-common-countries,Paris,France,Tehran,Iran
semantic,capital-common-countries,Paris,France,Tokyo,Japan
semantic,capital-common-countries,Paris,France,Athens,Greece
semantic,capital-common-countries,Paris,France,Baghdad,Iraq
semantic,capital-common-countries,Paris,France,Bangkok,Thailand
semantic,capital-common-countries,Paris,France,Beijing,China
semantic,capital-common-countries,Paris,France,Berlin,Germany
semantic,capital-common-countries,Paris,France,Bern,Switzerland
semantic,capital-common-countries,Paris,France,Cairo,Egypt
semantic,capital-common-countries,Paris,France,Canberra,Australia
semantic,capital-common-countries,Paris,France,Hanoi,Vietnam
semantic,capital-common-countries,Paris,France,Havana,Cuba
semantic,capital-common-countries,Paris,France,Helsinki,Finland
semantic,capital-common-countries,Paris,France,Islamabad,Pakistan
semantic,capital-common-countries,Paris,France,Kabul,Afghanistan
semantic,capital-common-countries,Paris,France,London,England
semantic,capital-common-countries,Paris,France,Madrid,Spain
semantic,capital-common-countries,Paris,France,Moscow,Russia
semantic,capital-common-countries,Paris,France,Oslo,Norway
semantic,capital-common-countries,Paris,France,Ottawa,Canada
semantic,capital-common-countries,Rome,Italy,Stockholm,Sweden
semantic,capital-common-countries,Rome,Italy,Tehran,Iran
semantic,capital-common-countries,Rome,Italy,Tokyo,Japan
semantic,capital-common-countries,Rome,Italy,Athens,Greece
semantic,capital-common-countries,Rome,Italy,Baghdad,Iraq
semantic,capital-common-countries,Rome,Italy,Bangkok,Thailand
semantic,capital-common-countries,Rome,Italy,Beijing,China
semantic,capital-common-countries,Rome,Italy,Berlin,Germany
semantic,capital-common-countries,Rome,Italy,Bern,Switzerland
semantic,capital-common-countries,Rome,Italy,Cairo,Egypt
semantic,capital-common-countries,Rome,Italy,Canberra,Australia
semantic,capital-common-countries,Rome,Italy,Hanoi,Vietnam
semantic,capital-common-countries,Rome,Italy,Havana,Cuba
semantic,capital-common-countries,Rome,Italy,Helsinki,Finland
semantic,capital-common-countries,Rome,Italy,Islamabad,Pakistan
semantic,capital-common-countries,Rome,Italy,Kabul,Afghanistan
semantic,capital-common-countries,Rome,Italy,London,England
semantic,capital-common-countries,Rome,Italy,Madrid,Spain
semantic,capital-common-countries,Rome,Italy,Moscow,Russia
semantic,capital-common-countries,Rome,Italy,Oslo,Norway
semantic,capital-common-countries,Rome,Italy,Ottawa,Canada
semantic,capital-common-countries,Rome,Italy,Paris,France
semantic,capital-common-countries,Stockholm,Sweden,Tehran,Iran
semantic,capital-common-countries,Stockholm,Sweden,Tokyo,Japan
semantic,capital-common-countries,Stockholm,Sweden,Athens,Greece
semantic,capital-common-countries,Stockholm,Sweden,Baghdad,Iraq
semantic,capital-common-countries,Stockholm,Sweden,Bangkok,Thailand
semantic,capital-common-countries,Stockholm,Sweden,Beijing,China
semantic,capital-common-countries,Stockholm,Sweden,Berlin,Germany
semantic,capital-common-countries,Stockholm,Sweden,Bern,Switzerland
semantic,capital-common-countries,Stockholm,Sweden,Cairo,Egypt
semantic,capital-common-countries,Stockholm,Sweden,Canberra,Australia
semantic,capital-common-countries,Stockholm,Sweden,Hanoi,Vietnam
semantic,capital-common-countries,Stockholm,Sweden,Havana,Cuba
semantic,capital-common-countries,Stockholm,Sweden,Helsinki,Finland
semantic,capital-common-countries,Stockholm,Sweden,Islamabad,Pakistan
